"DairyName","BusinessEntity_ID","BusinessEntity_ID_Flag","Physical_Address","Municipality","State","ZipCode","Municipality_DOLA_LG_ID","Municipality_DOLA_LG_ID_Flag","Municipal_WaterProvider_OWF_ID","Municipal_WaterProvider_OWF_ID_Flag","Latitude","Longitude","Lat_Long_Flag","WaterSource_GNIS_Name","WaterSource_GNIS_Name_Flag","WaterSource_GNIS_ID","WaterSource_GNIS_ID_Flag","Formation_Date","Formation_Date_Flag","Dissolution_Date","Dissolution_Date_Flag","Website","Website_Flag"
Hermit Haven Dairy,19871252676,G,18453 CR 37,Holyoke,CO,80734,48005,G,,x,40.564016,-102.321436,g1,,x,,x,1973-01-08,G,,N,,x
High Plains Dairy,20101090316,G,1919 14th Street,Boulder,CO,80302,07006,G,,x,40.017654,-105.277450,g1,,x,,x,2010-02-12,G,,N,,x
Highland Dairy,20001065695,G,5651 WCR 42,Johnstown,CO,80534,64266,G,,x,40.295555,-104.946487,g1,,x,,x,2000-03-30,G,2005-05-17,G,,x
Hillrose Dairy,20051469488,G,25026 CR 36,Hillrose,CO,80733,44007,G,,x,40.375304,-103.464570,g1,,x,,x,2005-12-19,G,,N,,x
Hi-Plains Dairy,20151095187,G,4655 CALHAN HWY,Calhan,CO,80808,21006,G,,x,38.898953,-104.254122,g1,,x,,x,2015-02-09,G,,N,,x
Homestead Dairy,20061249429,G,35100 CNTY RD SS,Wiley,CO,81092,50017,G,,x,38.201312,-102.758881,g1,,x,,x,2006-06-16,G,,N,,x
Horizon Organic Dairy,20061311173,G,12002 Airport Way,Broomfield,CO,80021,64030,G,,x,39.913662,-105.106014,g1,,x,,x,2006-07-31,G,,N,,x
Hulstrom Dairy,19871766964,G,2714 WELD CTY RD 7,Erie,CO,80516,64060,G,,x,40.040039,-104.998524,g1,,x,,x,1987-12-29,G,,N,,x
Hunter Ridge Dairy,20111516132,G,23494 Hwy 14,Ault,CO,80610,62003,G,,x,40.580261,-104.610770,g1,,x,,x,2011-09-12,G,,N,,x
Husker Dairy,19961044398,G,,,,,,M,,x,,,M,,x,,x,1996-04-01,G,2001-02-01,G,,x
HX Butterfield Dairy,20151606532,G,50643 COUNTY ROAD KK,Wray,CO,80758,63010,G,,x,40.303349,-102.188594,g1,,x,,x,2015-09-23,G,,N,,x
Hygiene Dairy Company,19871213093,G,6295 MISTY WY,Longmont,CO,80503,64205,G,,x,40.103276,-105.207530,g1,,x,,x,1969-10-15,G,,N,,x
J and M Dairy,20101520784,G,3055 County Road 129,Hesperus,CO,81326,,N,,x,37.149482,-108.094439,g1,,x,,x,2010-09-20,G,,N,,x
Johnson Dairy,20031242666,G,23016 WCR 74,Eaton,CO,80615,62008,G,,x,40.518396,-104.616351,g1,,x,,x,2003-07-29,G,,N,,x
Jumpin' Good Goat Dairy,20081489233,G,31700 US Highway 24N,Buena Vista,CO,81211,08002,G,,x,38.878091,-106.162594,g1,,x,,x,2008-09-12,G,,N,,x
K and M Dairy,20161244131,G,802 Finch Drive,Severance,CO,80546,62053,G,,x,40.518920,-104.866270,g1,,x,,x,2016-04-04,G,,N,,x
Karl's Farms Dairy,19871145887,G,1621 E. 120 th ave,Northglenn,CO,80233,64198,G,,x,39.915262,-104.968099,g1,,x,,x,1959-12-11,G,2013-11-26,G,,x
